Code,Technical definition ,Informal explanation ,KM suggestions ,Notes 
Del,Delayed,do it in a while!',A delayed command such as “do it in a while!” Valentine gives the example of “Bi-zhaakan!” meaning “Come over later!” (Valentine 2001:222). ,
Dim,Diminutive,cuteness/smallness/affection for X,"A noun ending that adds a quality of cuteness, smallness, and affection for X, like saying “doggie.” It can also mean a juvenile animal. Some nouns with a semantic meaning of smallness, like ‘baby,’ are always diminutive (Valentine 2001:494).",
DistLoc,Distributed locative,around/among X,"A noun ending indicating location that could mean ‘around,’ ‘among,’ or ‘in.’ The distributed locative is most often with “mass nouns,” things like ‘grass,’ ‘woods,’ ‘water,’ and ‘sand,’ that aren’t counted and are already plural in their meaning. For example, “His daughters are playing in the sand” (Valentine 2001:746).",
Dub,Dubitative,speaker doubts/needs to infer X,"Verbal inflection expressing the speaker is uncertain or doubts/questions something, like saying “supposedly” in English. ",
Else,,,Leaving this note that you might have wanted to just pull this,
Ext,Extended,the person prefix ni/gi/o- has been extended with da/di/doo,Modern forms of the person prefixes that emerged from language change. Modern speakers lengthened (extended) forms to further define forms them as they were reduced by (syncope) the deletion of vowels. ,
Imp,Imperative order,used in commands,"The imperative order is verb inflection used for commands which includes immediate, delayed, and negative (prohibitive) commands. ",
Interj,Interjection,ah!,"Short one or two (adverbial particles) expressions conveying emotion, like ‘aa!,’ ‘come on!,’ ‘aambe!,’ ‘let’s (go)!,’ and ‘enh,’ ‘yes’ (Valentine 2001:149). ",
Ipc,Independent particle,the 'other' category,Particles are things that do not take inflection (things like plurality or animacy) as nouns and verbs do (Macaulay et al. 2026). Independent or “free” particles can appear on their own rather than needing to join a host (word). ,
Itr,Iterative,marks repeated actions,"Verbal inflection added to verbs in the conjunct order to express a repeated action. Could also be the relative preverb meaning ‘so many times,’ as in, ‘Endso-dgoshing,’ ‘every time he comes’ (Valentine 2001:801-802). ",
Loc,Locative,on/in/at X,"A noun ending indicating location (locative) that could mean ‘on,’ ‘in,’ or ‘at.’ ",
NA,Animate Noun,a being or remarkable thing,"One of the two groups (classes) of nouns. Generally, all living things are animate, but this does not always hold. Animacy has to be memorized by learners, as it is grammatical (agreement) and part of a speaker’s intuition of their first language.",
