Code,Technical definition ,Informal explanation ,KM suggestions ,Notes
Pret,Preterit,"Western usage: PRET marking is for nouns, marking that X is broken/deceased/no longer",Marking on nouns that most often shows someone has passed. It can also be used on objects that are broken or no longer in someone’s possession (Valentine 2001:206).,
ProxPl,Proximal plural,more than one entity that has not been backgrounded by being obviated,"Persons or things (plural), they are the focus (proximate) rather than the backgrounded (obviative) persons or things. ",
ProxSg,Proximal singular,"one entity, a third person that has not been backgrounded by being obviated",A singular third person that is the focus (proximate) rather than the backgrounded (obviative) person or thing. ,
Prt,Preterit,"Western usage: PRT marking is for verbs, marking that: X has been completed","On verbs in the independent order, the suffix has a temporal effect (something was completed). Verbs in the conjunct get a counterfactual (if something hypothetically were to happen) reading (Rice 2023). ",
Sg,Singular,one entity,"Singular, just one person or thing. ",
Sim,Simple,"do it! Appears in commands, equivalent of Imm in Nishnaabemwin analyzers",Verb inflection used for commands (without a delayed meaning) like “Do it!”,
VAIPL,Intransitive Verb with only PLural Animate subjects,description/action of beings or remarkable things,An intransitive verb (no object) with a plural animate subject. ,
VII+Augment/magad,A common way of making an Intransitive Verb with an Inanimate subject,description/action of a thing,"Ending that makes the subject of an intransitive verb inanimate, like “It is cold” rather than “She is cold.” Sometimes magad is added to VIIs without adding any meaning (Valentine 2001:373).",
VIIPL,Intransitive Verb with only PLural Inanimate subjects,description/action of things,"An intransitive verb (no object) with a plural inanimate subject like the verb, ‘mamaangaashkaa,’ ‘there are big waves’ (The Ojibwe People’s Dictionary). ",
Xobj,Unspecified object,Y ate [something]. See AntPass in Nishnaabemwin models,"The object is unspecified like ‘something’ in, “She ate something already.”",
Xsubj,Unspecified subject,"Y was Xed [by someone]. See ThmPas, Pass in Nishnaabemwin models",The subject is unspecified like ‘someone’ or somebody’ in “Someone/somebody already helped me.” ,
